sku,item_en,item_ar,category,price_sar,unit_cost_sar,is_iced,launch_date,retire_date
HOT-001,Spanish Latte,سبانيش لاتيه,hot_coffee,18.0,5.2,False,,
HOT-002,Flat White,فلات وايت,hot_coffee,16.0,4.6,False,,
HOT-003,Cortado,كورتادو,hot_coffee,14.0,3.9,False,,
HOT-004,V60 Filter,في60,hot_coffee,22.0,6.0,False,,
HOT-005,Karak Tea,كرك,hot_other,8.0,1.6,False,,
HOT-006,Saffron Latte,لاتيه زعفران,hot_coffee,21.0,6.4,False,,
HOT-007,Hot Chocolate,هوت شوكليت,hot_other,19.0,5.5,False,,
ICE-001,Iced Spanish Latte,آيس سبانيش لاتيه,iced_coffee,20.0,5.6,True,,
ICE-002,Iced Americano,آيس أمريكانو,iced_coffee,15.0,3.4,True,,
ICE-003,Iced Latte,آيس لاتيه,iced_coffee,18.0,5.0,True,,
ICE-004,Cold Brew,كولد برو,iced_coffee,21.0,5.2,True,,
ICE-005,Matcha Latte,ماتشا لاتيه,iced_other,24.0,7.8,True,2026-04-06,
ICE-006,Mojito Passion,موهيتو باشن,iced_other,19.0,4.4,True,,
FOD-001,Butter Croissant,كرواسون,bakery,12.0,4.0,False,,
FOD-002,Cinnamon Roll,سينامون رول,bakery,16.0,5.1,False,,
FOD-003,Date Cake,كيكة التمر,bakery,18.0,5.4,False,,
FOD-004,Cheesecake Slice,تشيز كيك,bakery,22.0,7.0,False,,
FOD-005,Chicken Sandwich,ساندويتش دجاج,food,26.0,9.5,False,,
FOD-006,Halloumi Toast,توست حلومي,food,24.0,8.2,False,,
