transaction_id,timestamp,sku,item_name,quantity,unit_price_sar,discount_sar,line_total_sar,payment_method,channel,cashier_id
TXN-200001,2026-02-02 07:08:00,ESP-002,Cappuccino,1,16.0,0.0,16.0,mada,delivery,EMP-02
TXN-200001,2026-02-02 07:08:00,ESP-001,Espresso,1,12.0,0.0,12.0,mada,dine_in,EMP-01
TXN-200002,2026-02-02 07:14:00,ESP-001,Espresso,1,12.0,0.0,12.0,apple_pay,delivery,EMP-03
TXN-200002,2026-02-02 07:14:00,FOD-101,Almond Croissant,1,15.0,0.0,15.0,apple_pay,takeaway,EMP-03
TXN-200003,2026-02-02 07:17:00,ESP-003,Flat White,1,17.0,0.0,17.0,visa,takeaway,EMP-02
TXN-200004,2026-02-02 07:09:00,ESP-001,Espresso,1,12.0,0.0,12.0,mada,dine_in,EMP-02
TXN-200005,2026-02-02 08:22:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,mada,delivery,EMP-02
TXN-200005,2026-02-02 08:22:00,ESP-002,Cappuccino,1,16.0,0.0,16.0,visa,dine_in,EMP-03
TXN-200006,2026-02-02 08:18:00,ESP-001,Espresso,1,12.0,0.0,12.0,apple_pay,delivery,EMP-01
TXN-200006,2026-02-02 08:18:00,ESP-001,Espresso,1,12.0,0.0,12.0,apple_pay,takeaway,EMP-01
TXN-200007,2026-02-02 09:24:00,FOD-102,Date Muffin,1,11.0,0.0,11.0,cash,dine_in,EMP-02
TXN-200008,2026-02-02 09:22:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,mada,delivery,EMP-03
TXN-200009,2026-02-02 09:10:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,apple_pay,takeaway,EMP-02
TXN-200009,2026-02-02 09:10:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,apple_pay,delivery,EMP-02
TXN-200010,2026-02-02 09:53:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,mada,takeaway,EMP-02
TXN-200011,2026-02-02 09:17:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,cash,dine_in,EMP-03
TXN-200012,2026-02-02 09:31:00,FOD-102,Date Muffin,1,11.0,0.0,11.0,apple_pay,takeaway,EMP-01
TXN-200013,2026-02-02 10:34:00,FOD-101,Almond Croissant,1,15.0,0.0,15.0,visa,takeaway,EMP-01
TXN-200014,2026-02-02 10:08:00,FOD-102,Date Muffin,1,11.0,0.0,11.0,mada,dine_in,EMP-01
TXN-200014,2026-02-02 10:08:00,ESP-003,Flat White,1,17.0,0.0,17.0,apple_pay,delivery,EMP-02
TXN-200015,2026-02-02 10:38:00,FOD-101,Almond Croissant,1,15.0,0.0,15.0,visa,delivery,EMP-02
TXN-200016,2026-02-02 10:33:00,ESP-001,Espresso,1,12.0,0.0,12.0,mada,delivery,EMP-03
TXN-200017,2026-02-02 10:48:00,ESP-001,Espresso,1,12.0,0.0,12.0,mada,takeaway,EMP-02
TXN-200018,2026-02-02 11:46:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,apple_pay,delivery,EMP-01
TXN-200018,2026-02-02 11:46:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,apple_pay,dine_in,EMP-02
TXN-200019,2026-02-02 11:48:00,ESP-001,Espresso,1,12.0,0.0,12.0,cash,takeaway,EMP-01
TXN-200020,2026-02-02 11:07:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,apple_pay,dine_in,EMP-01
TXN-200021,2026-02-02 12:31:00,ESP-003,Flat White,1,17.0,0.0,17.0,apple_pay,delivery,EMP-02
TXN-200022,2026-02-02 13:33:00,FOD-101,Almond Croissant,1,15.0,0.0,15.0,apple_pay,delivery,EMP-03
TXN-200022,2026-02-02 13:33:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,cash,takeaway,EMP-03
TXN-200023,2026-02-02 13:41:00,FOD-102,Date Muffin,1,11.0,0.0,11.0,visa,dine_in,EMP-01
TXN-200024,2026-02-02 13:14:00,ESP-001,Espresso,1,12.0,0.0,12.0,mada,delivery,EMP-03
TXN-200025,2026-02-02 13:14:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,mada,dine_in,EMP-03
TXN-200025,2026-02-02 13:14:00,ESP-001,Espresso,1,12.0,0.0,12.0,apple_pay,dine_in,EMP-01
TXN-200026,2026-02-02 13:55:00,ESP-002,Cappuccino,1,16.0,0.0,16.0,apple_pay,takeaway,EMP-03
TXN-200027,2026-02-02 13:31:00,ESP-003,Flat White,1,17.0,0.0,17.0,visa,dine_in,EMP-02
TXN-200028,2026-02-02 13:51:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,mada,dine_in,EMP-03
TXN-200029,2026-02-02 14:26:00,ESP-001,Espresso,1,12.0,0.0,12.0,mada,dine_in,EMP-02
TXN-200030,2026-02-02 14:46:00,ESP-002,Cappuccino,1,16.0,0.0,16.0,apple_pay,dine_in,EMP-01
TXN-200031,2026-02-02 14:34:00,ESP-003,Flat White,1,17.0,0.0,17.0,visa,dine_in,EMP-02
TXN-200032,2026-02-02 14:29:00,ESP-002,Cappuccino,1,16.0,0.0,16.0,visa,delivery,EMP-01
TXN-200033,2026-02-02 14:03:00,ESP-001,Espresso,1,12.0,0.0,12.0,mada,dine_in,EMP-01
TXN-200033,2026-02-02 14:03:00,FOD-101,Almond Croissant,1,15.0,0.0,15.0,visa,takeaway,EMP-01
TXN-200034,2026-02-02 14:55:00,ESP-001,Espresso,1,12.0,0.0,12.0,apple_pay,takeaway,EMP-01
TXN-200035,2026-02-02 14:24:00,FOD-102,Date Muffin,1,11.0,0.0,11.0,cash,takeaway,EMP-03
TXN-200036,2026-02-02 15:31:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,cash,dine_in,EMP-01
TXN-200037,2026-02-02 15:37:00,ESP-001,Espresso,1,12.0,0.0,12.0,cash,dine_in,EMP-01
TXN-200037,2026-02-02 15:37:00,FOD-102,Date Muffin,1,11.0,0.0,11.0,apple_pay,dine_in,EMP-03
TXN-200038,2026-02-02 15:05:00,ESP-002,Cappuccino,1,16.0,0.0,16.0,mada,delivery,EMP-01
TXN-200039,2026-02-02 15:25:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,mada,delivery,EMP-01
TXN-200040,2026-02-02 15:26:00,ESP-001,Espresso,1,12.0,0.0,12.0,cash,dine_in,EMP-03
TXN-200040,2026-02-02 15:26:00,ESP-001,Espresso,1,12.0,0.0,12.0,apple_pay,takeaway,EMP-02
TXN-200041,2026-02-02 15:08:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,visa,takeaway,EMP-01
TXN-200041,2026-02-02 15:08:00,ESP-001,Espresso,1,12.0,0.0,12.0,visa,delivery,EMP-03
TXN-200042,2026-02-02 15:06:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,cash,dine_in,EMP-02
TXN-200043,2026-02-02 15:56:00,ICE-101,Iced Americano,1,14.0,0.0,14.0,cash,takeaway,EMP-01
TXN-200044,2026-02-02 15:28:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,mada,delivery,EMP-03
TXN-200044,2026-02-02 15:28:00,ICE-102,Iced Mocha,1,19.0,0.0,19.0,mada,dine_in,EMP-02
TXN-200045,2026-02-02 15:07:00,ESP-003,Flat White,1,17.0,0.0,17.0,cash,takeaway,EMP-03
TXN-200046,2026-02-02 15:13:00,ESP-001,Espresso,1,12.0,0.0,12.0,apple_pay,delivery,EMP-03
